"","Player","Team","Age","Overall"
"1","Kevin De Bruyne","Manchester City",28,91
"2","Virgil van Dijk","Liverpool",27,90
"3","Mohamed Salah","Liverpool",27,90
"4","N'Golo Kanté","Chelsea",28,89
"5","Alisson Ramses Becker","Liverpool",26,89
"6","Sergio Agüero","Manchester City",31,89
"7","David De Gea Quintana","Manchester United",28,89
"8","Harry Kane","Tottenham Hotspur",25,89
"9","Pierre-Emerick Aubameyang","Arsenal",30,88
"10","Sadio Mané","Liverpool",27,88
"11","Ederson Santana de Moraes","Manchester City",25,88
"12","David Josué Jiménez Silva","Manchester City",33,88
"13","Raheem Sterling","Manchester City",24,88
"14","Paul Pogba","Manchester United",26,88
"15","Hugo Lloris","Tottenham Hotspur",32,88
"16","Christian Eriksen","Tottenham Hotspur",27,88
"17","Aymeric Laporte","Manchester City",25,87
"18","Fernando Luiz Rosa","Manchester City",34,87
"19","Bernardo Mota Carvalho e Silva","Manchester City",24,87
"20","Toby Alderweireld","Tottenham Hotspur",30,87
"21","Jan Vertonghen","Tottenham Hotspur",32,87
"22","Heung Min Son","Tottenham Hotspur",26,87
"23","Alexandre Lacazette","Arsenal",28,86
"24","Leroy Sané","Manchester City",23,86
"25","Roberto Firmino Barbosa de Oliveira","Liverpool",27,86
"26","Andrew Robertson","Liverpool",25,85
"27","Fábio Henrique Tavares","Liverpool",25,85
"28","Rodrigo Hernández Cascante","Manchester City",23,85
"29","Bernd Leno","Arsenal",27,84
"30","Sokratis Papastathopoulos","Arsenal",31,84
"31","Mesut Özil","Arsenal",30,84
"32","Kyle Walker","Manchester City",29,84
"33","Kepa Arrizabalaga","Chelsea",24,84
"34","César Azpilicueta Tanco","Chelsea",29,84
"35","Georginio Wijnaldum","Liverpool",28,84
"36","İlkay Gündoğan","Manchester City",28,84
"37","João Pedro Cavaco Cancelo","Manchester City",25,84
"38","Riyad Mahrez","Manchester City",28,84
"39","Dele Alli","Tottenham Hotspur",23,84
"40","Felipe Anderson Pereira Gomes","West Ham United",26,84
"41","João Filipe Moutinho","Wolverhampton Wanderers",32,84
"42","David Luiz Moreira Marinho","Arsenal",32,83
"43","Nicolas Pépé","Arsenal",24,83
"44","Luiz Frello Filho Jorge","Chelsea",27,83
"45","Kasper Schmeichel","Leicester City",32,83
"46","Jordan Pickford","Everton",25,83
"47","Lucas Digne","Everton",25,83
"48","Gylfi Sigurðsson","Everton",29,83
"49","Trent Alexander-Arnold","Liverpool",20,83
"50","Jordan Henderson","Liverpool",29,83
"51","John Stones","Manchester City",25,83
"52","Nicolás Otamendi","Manchester City",31,83
"53","Marcus Rashford","Manchester United",21,83
"54","Anthony Martial","Manchester United",23,83
"55","Giovani Lo Celso","Tottenham Hotspur
Jun 30, ",23,83
"56","Davinson Sánchez","Tottenham Hotspur",23,83
"57","Lucas Rodrigues M. Silva","Tottenham Hotspur",26,83
"58","Sébastien Haller","West Ham United",25,83
"59","Rui Pedro dos Santos Patrício","Wolverhampton Wanderers",31,83
